EventId,EventTemplate,Occurrences
b2bb8d29,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Using atomics to ref count buffer pool pages,80
1813dccf,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: The InnoDB memory heap is disabled,80
0fd215b6,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Mutexes and rw_locks use GCC atomic builtins,80
f5e78513,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Memory barrier is not used,80
10d6c1fb,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Compressed tables use zlib <*>.<*>.<*>,80
e96c322e,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Using <*> <*> <*>,160
89757640,"2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Initializing buffer pool, size = <*>.0M",80
46b2b57a,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Completed initialization of buffer pool,80
98ac50a2,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: The first specified data file ./ibdata1 did not exist: a new database to be created!,20
5cddc9f2,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Setting file ./ibdata1 size to <*> MB,20
f8cbfaa5,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Database physically writes the file full: wait...,20
90e2a27d,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Setting log file <*> size to <*> MB,40
7ba6175c,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Renaming log file ./ib_logfile101 to ./ib_logfile<*>,20
f787c356,"2021-<*>-<*> <*>:<*>:<*> <*> [Warning] InnoDB: New log files created, LSN=<*>",20
40e60a84,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Doublewrite buffer not found: creating new,20
a9f8140d,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Doublewrite buffer created,20
8aaf3823,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: <*> rollback segment(s) are active.,80
9f3524b5,2021-<*>-<*> <*>:<*>:<*> <*> <*> InnoDB: Creating <*> <*> <*> system tables.,40
df6ebb57,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: <*> <*> <*> system tables <*>,40
6ea5bce4,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Waiting for purge to start,80
2f516fbe,2021-<*>-<*> <*>:<*>:<*> <*> [Note] RSA <*> key file not found: <*> Some authentication plugins will not work.,160
643eb281,2021-<*>-<*> <*>:<*>:<*> <*> [Note] InnoDB: Highest supported file format is Barracuda.,60
c703e7e7,2021-<*>-<*> <*>:<*>:<*>+<*>:<*> [Note] [Entrypoint]: <*> <*> <*>,140
